arch_id,layer_num,layer_type,units,activation,dropout_rate,reward,accuracy,complexity,complexity_epochs,completed,termination_reason
4529,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4529,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4529,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4529,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4530,1,dense,16.0,sigmoid,,77.39100219884253,71.73891067504883,99.54878144095794,86.0,True,stop
4530,2,dense,16.0,sigmoid,,77.39100219884253,71.73891067504883,99.54878144095794,86.0,True,stop
4530,3,dense,16.0,sigmoid,,77.39100219884253,71.73891067504883,99.54878144095794,86.0,True,stop
4530,4,dense,512.0,relu,,77.39100219884253,71.73891067504883,99.54878144095794,86.0,True,stop
4531,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4531,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4531,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4531,4,dense,512.0,relu,,0.0,,,,False,incomplete
4532,1,dense,16.0,sigmoid,,76.55072422770942,70.68842649459839,99.94344010239611,85.0,True,stop
4532,2,dense,16.0,sigmoid,,76.55072422770942,70.68842649459839,99.94344010239611,85.0,True,stop
4532,3,dense,32.0,sigmoid,,76.55072422770942,70.68842649459839,99.94344010239611,85.0,True,stop
4533,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4533,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4533,3,dense,32.0,sigmoid,,0.0,,,,False,incomplete
4534,1,dense,16.0,sigmoid,,77.04026839527295,71.30035758018494,99.9447847656378,84.0,True,stop
4534,2,dense,16.0,sigmoid,,77.04026839527295,71.30035758018494,99.9447847656378,84.0,True,stop
4534,3,dense,16.0,sigmoid,,77.04026839527295,71.30035758018494,99.9447847656378,84.0,True,stop
4534,4,dense,16.0,sigmoid,,77.04026839527295,71.30035758018494,99.9447847656378,84.0,True,stop
4535,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4535,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4535,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4535,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4536,1,dense,16.0,sigmoid,,77.68483227072218,72.10606932640076,99.9447847656378,79.0,True,stop
4536,2,dense,16.0,sigmoid,,77.68483227072218,72.10606932640076,99.9447847656378,79.0,True,stop
4536,3,dense,16.0,sigmoid,,77.68483227072218,72.10606932640076,99.9447847656378,79.0,True,stop
4536,4,dense,16.0,sigmoid,,77.68483227072218,72.10606932640076,99.9447847656378,79.0,True,stop
4537,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4537,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4537,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4537,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4538,1,dense,16.0,sigmoid,,76.75470788810108,70.94339728355408,99.9447847656378,91.0,True,stop
4538,2,dense,16.0,sigmoid,,76.75470788810108,70.94339728355408,99.9447847656378,91.0,True,stop
4538,3,dense,16.0,sigmoid,,76.75470788810108,70.94339728355408,99.9447847656378,91.0,True,stop
4538,4,dense,16.0,sigmoid,,76.75470788810108,70.94339728355408,99.9447847656378,91.0,True,stop
4539,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4539,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4539,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4539,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4540,1,dense,16.0,sigmoid,,77.40742161288966,71.75930738449097,99.9447847656378,78.0,True,stop
4540,2,dense,16.0,sigmoid,,77.40742161288966,71.75930738449097,99.9447847656378,78.0,True,stop
4540,3,dense,16.0,sigmoid,,77.40742161288966,71.75930738449097,99.9447847656378,78.0,True,stop
4540,4,dense,16.0,sigmoid,,77.40742161288966,71.75930738449097,99.9447847656378,78.0,True,stop
4541,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4541,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4541,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4541,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4542,1,dense,16.0,sigmoid,,77.11368917028467,71.39214873313904,99.9447847656378,73.0,True,stop
4542,2,dense,16.0,sigmoid,,77.11368917028467,71.39214873313904,99.9447847656378,73.0,True,stop
4542,3,dense,16.0,sigmoid,,77.11368917028467,71.39214873313904,99.9447847656378,73.0,True,stop
4542,4,dense,16.0,sigmoid,,77.11368917028467,71.39214873313904,99.9447847656378,73.0,True,stop
4543,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4543,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4543,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4543,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4544,1,dense,16.0,sigmoid,,76.92604315833007,71.15757465362549,99.9447847656378,85.0,True,stop
4544,2,dense,16.0,sigmoid,,76.92604315833007,71.15757465362549,99.9447847656378,85.0,True,stop
4544,3,dense,16.0,sigmoid,,76.92604315833007,71.15757465362549,99.9447847656378,85.0,True,stop
4544,4,dense,16.0,sigmoid,,76.92604315833007,71.15757465362549,99.9447847656378,85.0,True,stop
4545,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4545,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4545,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4545,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4546,1,dense,16.0,sigmoid,,76.8770918088208,71.0963785648346,99.9447847656378,90.0,True,stop
4546,2,dense,16.0,sigmoid,,76.8770918088208,71.0963785648346,99.9447847656378,90.0,True,stop
4546,3,dense,16.0,sigmoid,,76.8770918088208,71.0963785648346,99.9447847656378,90.0,True,stop
4546,4,dense,16.0,sigmoid,,76.8770918088208,71.0963785648346,99.9447847656378,90.0,True,stop
4547,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4547,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4547,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4547,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4548,1,dense,64.0,swish,,76.16724896311094,70.20907998085022,99.91654683756217,91.0,True,stop
4549,1,dense,64.0,swish,,0.0,,,,False,incomplete
4550,1,dense,16.0,sigmoid,,77.49717300711134,71.8714952468872,99.9447847656378,79.0,True,stop
4550,2,dense,16.0,sigmoid,,77.49717300711134,71.8714952468872,99.9447847656378,79.0,True,stop
4550,3,dense,16.0,sigmoid,,77.49717300711134,71.8714952468872,99.9447847656378,79.0,True,stop
4550,4,dense,16.0,sigmoid,,77.49717300711134,71.8714952468872,99.9447847656378,79.0,True,stop
4551,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4551,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4551,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4551,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4552,1,dense,16.0,sigmoid,,76.98315173615869,71.22896313667297,99.9447847656378,83.0,True,stop
4552,2,dense,16.0,sigmoid,,76.98315173615869,71.22896313667297,99.9447847656378,83.0,True,stop
4552,3,dense,16.0,sigmoid,,76.98315173615869,71.22896313667297,99.9447847656378,83.0,True,stop
4552,4,dense,16.0,sigmoid,,76.98315173615869,71.22896313667297,99.9447847656378,83.0,True,stop
4553,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4553,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4553,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4553,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4554,1,dense,16.0,sigmoid,,75.95509990921329,69.94390487670898,99.93335512808338,82.0,True,stop
4554,2,dense,16.0,sigmoid,,75.95509990921329,69.94390487670898,99.93335512808338,82.0,True,stop
4554,3,dense,16.0,sigmoid,,75.95509990921329,69.94390487670898,99.93335512808338,82.0,True,stop
4554,4,dense,16.0,sigmoid,,75.95509990921329,69.94390487670898,99.93335512808338,82.0,True,stop
4554,5,dense,16.0,sigmoid,,75.95509990921329,69.94390487670898,99.93335512808338,82.0,True,stop
4555,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4555,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4555,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4555,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4555,5,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4556,1,dense,128.0,tanh,,74.78019953481268,68.47527027130127,99.83317771657693,95.0,True,stop
4557,1,dense,128.0,tanh,,0.0,,,,False,incomplete
4558,1,dense,16.0,sigmoid,,77.0239500360301,71.2799608707428,99.93335512808338,86.0,True,stop
4558,2,dense,16.0,sigmoid,,77.0239500360301,71.2799608707428,99.93335512808338,86.0,True,stop
4558,3,dense,16.0,sigmoid,,77.0239500360301,71.2799608707428,99.93335512808338,86.0,True,stop
4558,4,dense,16.0,sigmoid,,77.0239500360301,71.2799608707428,99.93335512808338,86.0,True,stop
4558,5,dense,16.0,sigmoid,,77.0239500360301,71.2799608707428,99.93335512808338,86.0,True,stop
4559,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4559,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4559,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4559,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4559,5,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4560,1,dense,16.0,sigmoid,,76.83629077241926,71.04538679122925,99.93335512808338,86.0,True,stop
4560,2,dense,16.0,sigmoid,,76.83629077241926,71.04538679122925,99.93335512808338,86.0,True,stop
4560,3,dense,16.0,sigmoid,,76.83629077241926,71.04538679122925,99.93335512808338,86.0,True,stop
4560,4,dense,16.0,sigmoid,,76.83629077241926,71.04538679122925,99.93335512808338,86.0,True,stop
4560,5,dense,16.0,sigmoid,,76.83629077241926,71.04538679122925,99.93335512808338,86.0,True,stop
4561,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4561,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4561,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4561,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4561,5,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4562,1,dense,16.0,sigmoid,,77.39925523427739,71.7491090297699,99.93335512808338,76.0,True,stop
4562,2,dense,16.0,sigmoid,,77.39925523427739,71.7491090297699,99.93335512808338,76.0,True,stop
4562,3,dense,16.0,sigmoid,,77.39925523427739,71.7491090297699,99.93335512808338,76.0,True,stop
4562,4,dense,16.0,sigmoid,,77.39925523427739,71.7491090297699,99.93335512808338,76.0,True,stop
4562,5,dense,16.0,sigmoid,,77.39925523427739,71.7491090297699,99.93335512808338,76.0,True,stop
4563,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4563,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4563,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4563,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4563,5,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4564,1,dense,16.0,sigmoid,,77.26053874304563,71.57572507858276,99.93335512808338,69.0,True,stop
4564,2,dense,16.0,sigmoid,,77.26053874304563,71.57572507858276,99.93335512808338,69.0,True,stop
4564,3,dense,16.0,sigmoid,,77.26053874304563,71.57572507858276,99.93335512808338,69.0,True,stop
4564,4,dense,16.0,sigmoid,,77.26053874304563,71.57572507858276,99.93335512808338,69.0,True,stop
4564,5,dense,16.0,sigmoid,,77.26053874304563,71.57572507858276,99.93335512808338,69.0,True,stop
4565,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4565,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4565,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4565,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4565,5,dense,16.0,sigmoid,,0.0,,,,False,incomplete
